,0,1,2,3,4,5,6,7,8,9
27,"Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('cheral/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('thocevar/orange3', 1), {'repo_name': 0, 'count': 1})",,,,,
28,"Row(('jimmycallin/master-thesis', 9), {'repo_name': 0, 'count': 1})","Row(('timshenkao/StringKernelSVM', 2), {'repo_name': 0, 'count': 1})","Row(('KonceptGeek/KaggleSentimentAnalysis', 2), {'repo_name': 0, 'count': 1})","Row(('satishkt/lending_club_classification', 1), {'repo_name': 0, 'count': 1})","Row(('nicolov/learning-from-data-homework', 1), {'repo_name': 0, 'count': 1})",,,,,
29,"Row(('jzbontar/orange-tree', 6), {'repo_name': 0, 'count': 1})","Row(('btengels/redistricting', 5), {'repo_name': 0, 'count': 1})","Row(('nicococo/ClusterSvdd', 5), {'repo_name': 0, 'count': 1})","Row(('VesnaT/orange3', 5), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 5), {'repo_name': 0, 'count': 1})","Row(('sureshbvn/nlpProject', 4), {'repo_name': 0, 'count': 1})","Row(('thocevar/orange3', 4), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('marinkaz/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 3), {'repo_name': 0, 'count': 1})"
30,"Row(('colincsl/pyKinectTools', 2), {'repo_name': 0, 'count': 1})","Row(('arutaku/mean_shift', 1), {'repo_name': 0, 'count': 1})","Row(('margulies/topography', 1), {'repo_name': 0, 'count': 1})","Row(('mtmarsh2/vislab', 1), {'repo_name': 0, 'count': 1})","Row(('jsouza/pamtl', 1), {'repo_name': 0, 'count': 1})",,,,,
31,"Row(('mramire8/structured', 7), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 2), {'repo_name': 0, 'count': 1})","Row(('roaminsight/roamresearch', 2), {'repo_name': 0, 'count': 1})","Row(('mramire8/active', 1), {'repo_name': 0, 'count': 1})","Row(('pandas-ml/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('palicand/mi-pdd', 1), {'repo_name': 0, 'count': 1})","Row(('kenlimmj/fightin-words', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('warrencrowell/cs4300sp2016-TweetBeat', 1), {'repo_name': 0, 'count': 1})","Row(('HaiQW/Optimal', 1), {'repo_name': 0, 'count': 1})"
32,"Row(('palicand/mi-pdd', 1), {'repo_name': 0, 'count': 1})","Row(('vodev/vocloud-preprocessing', 1), {'repo_name': 0, 'count': 1})","Row(('xysmas/music_genre_classifier', 1), {'repo_name': 0, 'count': 1})",,,,,,,
33,"Row(('phihes/judgmentHMM', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('phihes/sds-models', 1), {'repo_name': 0, 'count': 1})",,,,,,
34,"Row(('s-alexey/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('qPCR4vir/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('hugobuddel/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('cheral/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('VesnaT/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 1), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('EmanuelaBoros/kaggle-national-data-science-bowl-', 1), {'repo_name': 0, 'count': 1})"
35,"Row(('sinhrks/pandas-ml', 13), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 13), {'repo_name': 0, 'count': 1})","Row(('flyingpoops/kaggle-digit-recognizer-team-learning', 3), {'repo_name': 0, 'count': 1})","Row(('prikhodkop/AnalysisWorkbench', 2), {'repo_name': 0, 'count': 1})","Row(('hugobuddel/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('ethz-nus/lis-2015', 2), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('LPacademy/kaggle-challenge', 2), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('fierval/KaggleMalware', 2), {'repo_name': 0, 'count': 1})"
36,,,,,,,,,,
37,"Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})",,,,,,,,,
38,"Row(('s-alexey/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('mayavanand/RMMAFinalProject', 2), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('melqkiades/yelp', 2), {'repo_name': 0, 'count': 1})","Row(('cassinius/right-to-forget-data', 2), {'repo_name': 0, 'count': 1})","Row(('MicrosoftResearch/Azimuth', 1), {'repo_name': 0, 'count': 1})","Row(('jessrosenfield/supervised_learning', 1), {'repo_name': 0, 'count': 1})","Row(('akshaykr/oracle_cb', 1), {'repo_name': 0, 'count': 1})"
39,"Row(('mdeff/ntds_2016', 3), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('marinkaz/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('cheral/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('palicand/random-forest-wrapper', 1), {'repo_name': 0, 'count': 1})","Row(('sidh0/kaggle', 1), {'repo_name': 0, 'count': 1})","Row(('akshaykr/oracle_cb', 1), {'repo_name': 0, 'count': 1})","Row(('mattea/mattea-utils', 1), {'repo_name': 0, 'count': 1})"
40,"Row(('vespero89/Snoring_Challenge', 7), {'repo_name': 0, 'count': 1})","Row(('cassinius/right-to-forget-data', 5), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 4), {'repo_name': 0, 'count': 1})","Row(('VesnaT/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('janezd/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('sebadiaz/primaltest', 2), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('qPCR4vir/orange3', 2), {'repo_name': 0, 'count': 1})"
41,"Row(('VirgiAgl/Auto_GP_updated', 32), {'repo_name': 0, 'count': 1})","Row(('all-umass/graphs', 14), {'repo_name': 0, 'count': 1})","Row(('IDEALLab/domain_expansion_jmd_2017', 12), {'repo_name': 0, 'count': 1})","Row(('sonofmun/DissProject', 8), {'repo_name': 0, 'count': 1})","Row(('CS6780/approx-clustering', 7), {'repo_name': 0, 'count': 1})","Row(('lol/BCI-BO-old', 6), {'repo_name': 0, 'count': 1})","Row(('antworteffekt/EDeN', 5), {'repo_name': 0, 'count': 1})","Row(('emanuele/jstsp2015', 5), {'repo_name': 0, 'count': 1})","Row(('rlowrance/find_best_mall', 5), {'repo_name': 0, 'count': 1})","Row(('dmccloskey/python_statistics', 5), {'repo_name': 0, 'count': 1})"
42,"Row(('diogo149/treeano', 27), {'repo_name': 0, 'count': 1})","Row(('hammerlab/immuno_research', 24), {'repo_name': 0, 'count': 1})","Row(('iskandr/immuno', 14), {'repo_name': 0, 'count': 1})","Row(('fcchou/CS229-project', 13), {'repo_name': 0, 'count': 1})","Row(('tmills/neural-assertion', 12), {'repo_name': 0, 'count': 1})","Row(('jagill/treeano', 12), {'repo_name': 0, 'count': 1})","Row(('nsauder/treeano', 11), {'repo_name': 0, 'count': 1})","Row(('imink/UCL_COMPIG15_Project', 8), {'repo_name': 0, 'count': 1})","Row(('chengsoonong/crowdastro', 8), {'repo_name': 0, 'count': 1})","Row(('ethz-nus/lis-2015', 6), {'repo_name': 0, 'count': 1})"
43,,,,,,,,,,
